"year","Burlington County- Own Pct","Camden County- Own Pct","Gloucester County- Own Pct","Mercer County- Own Pct","Bucks County- Own Pct","Chester County- Own Pct","Delaware County- Own Pct","Montgomery County- Own Pct","Philadelphia County- Own Pct","NJ Counties- Own Pct","PA Suburban Counties- Own Pct","Core Cities- Own Pct","Developed Communities- Own Pct","Growing Suburbs- Own Pct","Rural Areas- Own Pct","DVRPC Region- Own Pct","Burlington County- Rent Pct","Camden County- Rent Pct","Gloucester County- Rent Pct","Mercer County- Rent Pct","Bucks County- Rent Pct","Chester County- Rent Pct","Delaware County- Rent Pct","Montgomery County- Rent Pct","Philadelphia County- Rent Pct","NJ Counties- Rent Pct","PA Suburban Counties- Rent Pct","Core Cities- Rent Pct","Developed Communities- Rent Pct","Growing Suburbs- Rent Pct","Rural Areas- Rent Pct","DVRPC Region- Rent Pct","Burlington County- Total Pct","Camden County- Total Pct","Gloucester County- Total Pct","Mercer County- Total Pct","Bucks County- Total Pct","Chester County- Total Pct","Delaware County- Total Pct","Montgomery County- Total Pct","Philadelphia County- Total Pct","NJ Counties- Total Pct","PA Suburban Counties- Total Pct","Core Cities- Total Pct","Developed Communities- Total Pct","Growing Suburbs- Total Pct","Rural Areas- Total Pct","DVRPC Region- Total Pct"
2005,0.302,0.346,0.313,0.319,0.318,0.300,0.298,0.278,0.318,0.321,0.297,,,,,0.309,0.517,0.505,0.484,0.492,0.509,0.450,0.481,0.462,0.555,0.502,0.475,,,,,0.514,0.345,0.395,0.342,0.370,0.359,0.331,0.347,0.322,0.418,0.366,0.339,,,,,0.368
2006,0.392,0.364,0.359,0.354,0.323,0.290,0.310,0.318,0.329,0.369,0.312,,,,,0.333,0.519,0.498,0.461,0.502,0.498,0.442,0.502,0.406,0.569,0.500,0.459,,,,,0.511,0.417,0.402,0.376,0.398,0.361,0.322,0.359,0.338,0.424,0.401,0.346,,,,,0.383
2007,0.348,0.385,0.373,0.347,0.346,0.308,0.321,0.294,0.342,0.364,0.316,,,,,0.336,0.520,0.532,0.495,0.534,0.486,0.371,0.507,0.475,0.539,0.525,0.467,,,,,0.510,0.385,0.429,0.396,0.401,0.374,0.322,0.371,0.336,0.423,0.405,0.351,,,,,0.386
2008,0.378,0.368,0.388,0.326,0.319,0.324,0.320,0.293,0.329,0.366,0.312,,,,,0.332,0.482,0.538,0.533,0.497,0.473,0.439,0.504,0.452,0.541,0.514,0.468,,,,,0.508,0.398,0.419,0.415,0.380,0.352,0.348,0.372,0.335,0.418,0.404,0.350,,,,,0.384
2009,0.367,0.389,0.374,0.372,0.331,0.303,0.316,0.295,0.329,0.376,0.310,,,,,0.334,0.504,0.503,0.578,0.499,0.493,0.452,0.553,0.462,0.551,0.512,0.490,,,,,0.520,0.397,0.422,0.412,0.414,0.363,0.336,0.378,0.336,0.425,0.411,0.352,,,,,0.389
2010,0.352,0.410,0.411,0.355,0.335,0.310,0.328,0.296,0.337,0.382,0.316,,,,,0.340,0.549,0.612,0.534,0.534,0.586,0.409,0.520,0.467,0.589,0.567,0.494,,,,,0.549,0.392,0.474,0.435,0.411,0.385,0.332,0.382,0.341,0.447,0.430,0.359,,,,,0.403
2011,0.369,0.414,0.367,0.339,0.352,0.320,0.336,0.313,0.346,0.376,0.329,,,,,0.347,0.564,0.556,0.516,0.516,0.543,0.472,0.589,0.490,0.581,0.542,0.522,,,,,0.550,0.412,0.458,0.396,0.398,0.395,0.360,0.409,0.359,0.450,0.421,0.379,,,,,0.410
2012,0.344,0.386,0.335,0.336,0.314,0.298,0.307,0.278,0.311,0.353,0.297,,,,,0.317,0.499,0.599,0.592,0.564,0.491,0.484,0.556,0.463,0.569,0.565,0.497,,,,,0.542,0.379,0.452,0.380,0.413,0.352,0.340,0.382,0.328,0.430,0.410,0.348,,,,,0.388
2013,0.319,0.349,0.328,0.324,0.301,0.272,0.296,0.271,0.313,0.331,0.284,0.331,0.334,0.310,0.337,0.304,0.504,0.591,0.502,0.514,0.520,0.521,0.507,0.480,0.576,0.539,0.504,0.581,0.515,0.479,0.536,0.541,0.357,0.429,0.366,0.390,0.353,0.334,0.359,0.326,0.436,0.389,0.342,0.446,0.384,0.340,0.362,0.381
2014,0.305,0.328,0.294,0.336,0.281,0.260,0.291,0.265,0.329,0.316,0.274,,,,,0.298,0.533,0.544,0.576,0.549,0.537,0.494,0.554,0.501,0.575,0.547,0.521,,,,,0.548,0.359,0.397,0.354,0.412,0.343,0.315,0.366,0.330,0.443,0.382,0.338,,,,,0.379
