"year","Bucks","Burlington","Camden","Chester","Delaware","Gloucester","Mercer","Montgomery","Philadelphia","NJ_Suburban_Counties","PA_Suburban_Counties","Region"
2005,0.135,0.128,0.130,0.154,0.101,0.108,0.132,0.120,0.088,0.126,0.127,0.119
2006,0.129,0.038,0.093,0.137,0.077,0.142,0.083,0.114,0.057,0.084,0.114,0.092
2007,0.120,0.089,0.127,0.147,0.103,0.087,0.112,0.080,0.080,0.106,0.109,0.103
2008,0.123,0.063,0.071,0.159,0.078,0.111,0.081,0.104,0.049,0.078,0.115,0.088
2009,0.103,0.058,0.089,0.135,0.106,0.100,0.085,0.080,0.046,0.082,0.103,0.083
2010,0.112,0.034,0.083,0.133,0.085,0.089,0.096,0.084,0.038,0.073,0.101,0.077
2011,0.102,0.033,0.077,0.120,0.083,0.094,0.064,0.086,0.028,0.065,0.097,0.070
2012,0.116,0.063,0.074,0.123,0.084,0.056,0.052,0.085,0.030,0.062,0.101,0.071
2013,0.105,0.038,0.083,0.135,0.072,0.108,0.073,0.091,0.029,0.073,0.099,0.073
2014,0.085,0.077,0.087,0.129,0.074,0.113,0.081,0.087,0.041,0.088,0.093,0.078
2015,0.101,0.065,0.068,0.132,0.065,0.101,0.089,0.087,0.049,0.078,0.095,0.078
2016,0.087,0.067,0.095,0.126,0.054,0.072,0.090,0.076,0.045,0.082,0.084,0.074
2017,0.114,0.078,0.073,0.137,0.078,0.114,0.099,0.075,,0.088,0.098,0.083
2018,0.083,0.048,0.076,0.131,0.075,0.051,0.085,0.068,0.027,0.066,0.086,0.065
2019,0.099,0.047,0.052,0.137,0.067,0.065,0.073,0.071,0.035,0.057,0.091,0.066
2021,0.095,0.056,0.073,0.112,0.069,0.110,0.080,0.057,0.026,0.077,0.081,0.065
2022,0.090,0.063,0.080,0.104,0.067,0.105,0.051,0.076,0.022,0.073,0.084,0.065
