Year,Burlington_<20,Burlington_20-34,Burlington_35-49,Burlington_50-64,Burlington_65+,Camden_<20,Camden_20-34,Camden_35-49,Camden_50-64,Camden_65+,Gloucester_<20,Gloucester_20-34,Gloucester_35-49,Gloucester_50-64,Gloucester_65+,Mercer_<20,Mercer_20-34,Mercer_35-49,Mercer_50-64,Mercer_65+,Bucks_<20,Bucks_20-34,Bucks_35-49,Bucks_50-64,Bucks_65+,Chester_<20,Chester_20-34,Chester_35-49,Chester_50-64,Chester_65+,Delaware_<20,Delaware_20-34,Delaware_35-49,Delaware_50-64,Delaware_65+,Montgomery_<20,Montgomery_20-34,Montgomery_35-49,Montgomery_50-64,Montgomery_65+,Philadelphia_<20,Philadelphia_20-34,Philadelphia_35-49,Philadelphia_50-64,Philadelphia_65+,NJCnt_<20,NJCnt_20-34,NJCnt_35-49,NJCnt_50-64,NJCnt_65+,PASub_<20,PASub_20-34,PASub_35-49,PASub_50-64,PASub_65+,DVRPC_<20,DVRPC_20-34,DVRPC_35-49,DVRPC_50-64,DVRPC_65+
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0.001,0.001,0.002,0.008,0.005,-0.002,-0.002,-0.001,0.005,0.000,0.001,0.001,0.002,0.008,0.004,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0.002,0.009,0.006,0.003,0.003,0.005,0.011,0.007,-0.001,-0.001,0.000,0.006,-0.001,0.001,0.001,0.002,0.009,0.002,-0.004,-0.004,-0.002,0.003,-0.005,0.000,0.000,0.001,0.007,0.003,0.001,0.001,0.002,0.009,0.003,-0.001,-0.001,0.001,0.007,0.001
2002,0.011,-0.010,0.015,0.033,0.016,-0.006,-0.006,0.000,0.027,-0.004,-0.003,0.001,0.013,0.045,0.011,0.011,-0.006,0.002,0.032,-0.001,0.000,-0.023,0.007,0.039,0.017,0.017,-0.013,0.011,0.039,0.018,0.001,-0.005,0.000,0.024,-0.011,0.013,-0.007,0.007,0.030,0.005,-0.011,0.011,-0.003,0.018,-0.015,0.002,-0.006,0.007,0.033,0.005,0.008,-0.012,0.006,0.032,0.006,0.001,-0.003,0.004,0.029,-0.001
2003,0.010,0.012,0.012,0.036,0.013,-0.002,0.005,-0.001,0.027,-0.003,0.008,0.016,0.014,0.046,0.010,0.005,0.002,0.002,0.025,-0.001,-0.002,-0.009,0.003,0.037,0.015,0.013,-0.002,0.009,0.045,0.022,-0.002,0.001,-0.007,0.028,-0.014,0.006,-0.002,0.002,0.030,0.004,-0.008,0.008,-0.007,0.017,-0.015,0.004,0.008,0.006,0.033,0.004,0.003,-0.003,0.002,0.034,0.005,0.001,0.004,0.001,0.029,-0.001
2004,0.010,0.011,0.007,0.034,0.018,-0.007,0.008,-0.008,0.028,-0.004,0.009,0.025,0.009,0.042,0.015,0.007,0.005,0.002,0.026,-0.001,-0.007,-0.001,-0.006,0.036,0.016,0.012,0.015,0.005,0.041,0.016,-0.004,0.004,-0.013,0.032,-0.012,0.003,-0.001,0.000,0.034,0.002,-0.005,0.007,-0.004,0.017,-0.016,0.003,0.011,0.002,0.032,0.006,0.000,0.003,-0.004,0.035,0.004,0.000,0.006,-0.002,0.030,-0.001
2005,0.001,0.004,0.001,0.030,0.012,-0.003,0.007,-0.004,0.029,-0.002,0.010,0.018,0.009,0.047,0.014,0.007,0.006,0.001,0.026,-0.004,-0.006,-0.003,-0.008,0.042,0.018,0.015,0.009,0.008,0.042,0.020,-0.004,0.000,-0.011,0.031,-0.017,0.002,-0.008,-0.005,0.031,0.000,0.001,0.009,-0.003,0.025,-0.017,0.003,0.008,0.001,0.032,0.004,0.001,-0.002,-0.004,0.036,0.004,0.002,0.004,-0.002,0.032,-0.002
2006,-0.006,-0.008,-0.005,0.027,0.005,-0.005,0.007,-0.003,0.032,0.000,0.000,0.014,0.006,0.045,0.013,-0.004,-0.002,-0.005,0.029,-0.002,-0.008,-0.007,-0.008,0.040,0.015,0.012,0.010,0.006,0.042,0.022,-0.002,0.001,-0.013,0.038,-0.014,-0.004,-0.004,-0.007,0.033,-0.001,-0.004,0.004,-0.001,0.024,-0.009,-0.004,0.002,-0.003,0.032,0.003,-0.002,-0.001,-0.006,0.038,0.003,-0.003,0.002,-0.004,0.033,0.000
2007,-0.010,-0.005,-0.006,0.029,0.011,-0.009,0.008,-0.006,0.031,0.000,0.007,0.018,0.011,0.041,0.030,-0.004,0.000,-0.004,0.024,0.005,-0.006,-0.005,-0.010,0.036,0.024,0.013,0.012,0.007,0.039,0.034,0.000,0.010,-0.012,0.034,-0.013,-0.004,-0.004,-0.012,0.030,0.002,-0.004,0.007,-0.001,0.025,-0.019,-0.005,0.004,-0.002,0.031,0.009,0.000,0.002,-0.008,0.034,0.009,-0.003,0.004,-0.005,0.031,0.001
2008,-0.013,-0.006,-0.017,0.026,0.015,-0.008,0.004,-0.016,0.030,0.014,0.007,0.020,-0.003,0.043,0.019,-0.003,0.000,-0.011,0.024,0.007,-0.008,0.001,-0.018,0.033,0.025,0.009,0.021,-0.005,0.043,0.022,-0.005,0.010,-0.020,0.036,0.000,-0.004,0.004,-0.015,0.034,0.006,-0.001,0.017,-0.005,0.027,-0.004,-0.005,0.003,-0.013,0.030,0.014,-0.003,0.008,-0.015,0.036,0.012,-0.003,0.010,-0.012,0.032,0.008
2009,-0.013,0.001,-0.024,0.021,0.022,-0.011,0.006,-0.020,0.023,0.021,-0.003,0.012,-0.012,0.030,0.029,-0.003,0.004,-0.014,0.024,0.017,-0.009,0.006,-0.024,0.028,0.035,0.007,0.014,-0.011,0.033,0.032,-0.006,0.016,-0.024,0.027,0.008,-0.005,0.014,-0.022,0.026,0.018,-0.004,0.020,-0.006,0.023,0.004,-0.008,0.005,-0.018,0.024,0.022,-0.004,0.013,-0.021,0.028,0.023,-0.005,0.013,-0.016,0.026,0.018
